,index,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,year,genres,num final genres
0,0,The Vanished Birds,Simon Jimenez,124205.0,55.18,6.37,1.95,0.36,1.58,2020.0,"['Science Fiction', 'Fantasy', 'Adult']",3
1,1,The Price of Honor,Jonathan P. Brazee,77253.0,35.35,8.71,2.63,0.71,1.92,2017.0,['Science Fiction'],1
2,2,The Case of the Baker Street Irregulars,Anthony Boucher,80557.0,32.33,8.41,3.72,1.64,2.08,1940.0,"['Mystery', 'Crime', 'Classics']",3
3,3,Wildoak,C. C. Harrington,55602.0,74.34,6.92,3.04,1.16,1.87,2022.0,"['Historical Fiction', 'Young Adult']",2
4,4,The Holiday,T. M. Logan,101767.0,50.3,8.02,3.06,1.12,1.93,2019.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
5,5,Fab: An Intimate Life of Paul McCartney,Howard Sounes,225785.0,39.24,6.52,3.03,1.2,1.83,2010.0,"['Biography', 'History']",2
6,6,Honest illusions,Nora Roberts,163279.0,55.45,8.31,2.72,0.95,1.77,1992.0,"['Romance', 'Contemporary', 'Mystery', 'Suspense']",4
7,7,Fifth Business,Robertson Davies,103691.0,29.82,8.8,3.46,1.12,2.34,1970.0,"['Classics', 'Historical Fiction', 'Literary Fiction']",3
8,8,Spy Above the Clouds,Ciji Ware,161061.0,47.38,6.98,3.32,1.35,1.97,2021.0,['Historical Fiction'],1
9,9,If Then,Jill Lepore,109677.0,27.46,5.77,2.16,0.77,1.39,2020.0,['History'],1
10,10,The Hardy Boys: The Demon's Den,Franklin W. Dixon,33745.0,48.64,7.8,3.04,1.09,1.95,1984.0,"['Mystery', 'Young Adult', 'Adventure', 'Classics']",4
11,11,How Lulu Lost Her Mind,Rachel Gibson,83425.0,61.79,7.97,2.2,0.69,1.51,2020.0,"['Romance', 'Contemporary', 'Adult']",3
12,12,Ghost Shadow,Heather Graham,92810.0,36.74,10.05,3.2,1.16,2.04,2010.0,"['Paranormal', 'Mystery', 'Romance', 'Suspense', 'Fantasy']",5
13,13,Since We Fell,Dennis Lehane,114738.0,48.64,7.5,2.61,0.74,1.87,2017.0,"['Thriller', 'Mystery', 'Crime', 'Suspense']",4
14,14,Sooner Later Everything Falls Into the Sea,Sarah Pinsker,96057.0,47.61,8.39,2.55,0.62,1.93,2019.0,"['Science Fiction', 'Fantasy']",2
15,15,The Sandpit,Nicholas Shakespeare,92098.0,53.82,7.96,2.39,0.82,1.58,2020.0,"['Thriller', 'Literary Fiction', 'Mystery', 'Contemporary', 'Crime']",5
16,16,The Black Key,Amy Ewing,73743.0,65.95,7.95,2.91,0.96,1.94,2016.0,"['Fantasy', 'Young Adult', 'Romance', 'Science Fiction']",4
17,17,Mrs. Lincoln's Sisters,Jennifer Chiaverini,103501.0,32.66,7.06,3.68,1.63,2.05,2020.0,"['Historical Fiction', 'Historical', 'Adult']",3
18,18,A Million Little Pieces,James Frey,167120.0,47.99,8.58,1.58,0.45,1.13,2003.0,"['Contemporary', 'Adult']",2
19,19,"The FBI, A History",Rhodri Jeffreys-Jones,104688.0,19.58,5.27,2.14,0.86,1.28,2007.0,"['History', 'Crime']",2
20,20,Contagion,Robin Cook,133456.0,36.27,9.48,2.98,1.3,1.68,1992.0,"['Thriller', 'Mystery', 'Suspense', 'Science Fiction']",4
21,21,Miss Julia Happily Ever After,Ann B. Ross,91088.0,28.99,9.99,3.73,0.96,2.77,2021.0,"['Mystery', 'Contemporary', 'Romance']",3
22,22,Checking Out Crime,Laurie Cass,86320.0,40.64,9.44,3.29,1.12,2.17,2021.0,['Mystery'],1
23,23,Henry Huggins,Beverly Cleary,22263.0,62.74,7.73,2.41,0.54,1.87,1953.0,"['Classics', 'Young Adult']",2
24,24,Glitter Bomb,Laura Childs & Terrie Farley Moran,75736.0,62.24,7.68,3.29,1.31,1.98,2018.0,"['Mystery', 'Adult']",2
25,25,Dare to Remember,Susanna Beard,77691.0,50.12,8.68,3.13,1.02,2.1,2017.0,"['Thriller', 'Mystery', 'Crime', 'Adult']",4
26,26,Feedback,Mira Grant,149433.0,39.28,10.07,2.93,1.15,1.78,2016.0,"['Horror', 'Science Fiction', 'Fantasy']",3
27,27,The Mermaid and Mrs. Hancock,Imogen Hermes Gowar,139646.0,60.02,7.78,3.15,0.92,2.24,2018.0,"['Historical Fiction', 'Fantasy', 'Historical']",3
28,28,Henry V,William Shakespeare,27129.0,37.81,6.38,3.07,0.55,2.51,1599.0,"['Classics', 'Historical Fiction']",2
29,30,The Last Stage,Louise Voss,98570.0,52.76,8.9,3.55,1.39,2.17,2019.0,"['Thriller', 'Crime', 'Mystery']",3
30,31,The Measure,Nikki Erlick,99412.0,35.46,7.83,3.74,1.58,2.17,2022.0,"['Science Fiction', 'Fantasy', 'Adult', 'Contemporary']",4
31,32,Blue Gold,David Barker,95590.0,55.15,6.49,2.5,0.83,1.66,2017.0,"['Thriller', 'Science Fiction']",2
32,33,Vessel,Lisa A. Nichols,93024.0,31.87,10.06,2.99,0.91,2.08,2019.0,"['Thriller', 'Mystery', 'Fantasy', 'Science Fiction']",4
33,34,Termination Shock,Neal Stephenson,241416.0,49.79,8.01,3.12,1.22,1.9,2021.0,"['Science Fiction', 'Thriller']",2
34,35,Close to the Cradle,Nova Lee Maier,76999.0,49.47,9.02,3.56,1.51,2.05,2019.0,"['Thriller', 'Mystery']",2
35,36,Never Pay the First Bill,Marshall Allen,62641.0,16.2,7.91,2.31,0.64,1.67,2021.0,['Adult'],1
36,37,Eden Mine,S. M. Hulse,84164.0,52.23,8.27,3.13,0.99,2.14,2020.0,"['Literary Fiction', 'Contemporary', 'Adult']",3
37,38,Winds of Strife,U. G. Gutman,141269.0,58.82,5.82,2.58,0.76,1.82,2020.0,"['Fantasy', 'Adult']",2
38,39,Vladimir,Julia May Jonas,80985.0,48.08,7.52,2.82,1.07,1.75,2022.0,"['Contemporary', 'Literary Fiction', 'Romance', 'Adult']",4
39,40,Perdition,R. Jean Reid,99267.0,31.26,9.31,3.16,1.13,2.03,2017.0,"['Mystery', 'Thriller', 'Adult']",3
40,41,When Through Deep Waters,Rachelle Dekker,86776.0,48.44,7.83,2.5,0.94,1.56,2018.0,"['Mystery', 'Science Fiction', 'Contemporary']",3
41,42,Just After Sunset,Stephen King,132036.0,51.78,8.29,3.02,0.96,2.06,2008.0,"['Horror', 'Thriller', 'Fantasy']",3
42,43,The Georges and the Jewels,Jane Smiley,60955.0,46.06,8.48,3.37,0.65,2.72,2009.0,"['Young Adult', 'Historical Fiction']",2
43,44,Trust No One,Anthony Mosawi,72884.0,60.86,6.26,2.13,0.76,1.36,2018.0,"['Thriller', 'Mystery', 'Crime']",3
44,45,Kings Rising,C. S. Pacat,77743.0,49.08,7.61,2.26,0.86,1.4,2016.0,"['Fantasy', 'Romance', 'Adult']",3
45,46,Ignite Me,Tahereh Mafi,87071.0,39.38,9.55,4.02,1.32,2.69,2014.0,"['Fantasy', 'Young Adult', 'Romance', 'Science Fiction', 'Paranormal']",5
46,47,Michelle,Ayala Yoked,75479.0,39.95,7.78,2.66,1.05,1.61,2018.0,['Romance'],1
47,48,Luna Rising,Sloane Murphy,90747.0,44.22,8.58,3.5,1.36,2.14,2021.0,"['Paranormal', 'Fantasy']",2
48,49,The Hardy Boys: Danger On Vampire Trail,Franklin W. Dixon,32114.0,58.99,6.84,2.66,0.99,1.67,1971.0,"['Thriller', 'Mystery', 'Classics', 'Young Adult', 'Adventure']",5
49,50,The Contingency,G. J. Ogden,57574.0,41.48,7.64,3.75,1.54,2.21,2020.0,['Science Fiction'],1
50,51,All the Women in My Brain,Betty Gilpin,68799.0,52.29,7.3,3.16,1.07,2.09,2022.0,"['Memoir', 'Biography']",2
51,52,Dead Man Switch,Matthew Quirk,71165.0,48.9,7.6,2.11,0.5,1.6,2017.0,"['Thriller', 'Suspense']",2
52,53,Robur the Conqueror,Jules Verne,17580.0,42.78,8.63,2.71,0.86,1.85,1886.0,"['Science Fiction', 'Classics', 'Adventure']",3
53,54,If You Knew Her,Emily Elgar,100362.0,56.8,7.66,2.99,1.04,1.95,2017.0,"['Thriller', 'Mystery', 'Suspense']",3
54,55,Greenwood,Michael Christie,139565.0,67.9,6.34,3.18,1.18,2.0,2019.0,"['Historical Fiction', 'Literary Fiction', 'Historical', 'Contemporary']",4
55,56,A Mrs. Miracle Christmas,Debbie Macomber,46408.0,38.01,9.49,3.03,1.16,1.86,2019.0,"['Romance', 'Contemporary']",2
56,57,Kingdom of Souls,Rena Barron,131021.0,60.16,7.01,2.01,0.18,1.83,2019.0,"['Fantasy', 'Young Adult']",2
57,58,Bonnie Jack,Ian Hamilton,65617.0,30.22,10.61,3.09,0.87,2.22,2021.0,['Crime'],1
58,59,Jane Doe,Victoria Helen Stone,72454.0,46.91,9.36,3.31,1.13,2.18,2018.0,"['Thriller', 'Mystery', 'Contemporary', 'Suspense']",4
59,60,Freed,E. L. James,229120.0,56.12,8.04,2.41,0.74,1.67,2012.0,"['Romance', 'Adult', 'Contemporary']",3
60,61,Year One,Nora Roberts,115412.0,54.58,8.09,2.27,0.56,1.71,2017.0,"['Fantasy', 'Romance', 'Paranormal']",3
61,62,The Book of Judges,Traci Tyne Hilton,83836.0,36.65,9.65,2.57,0.77,1.8,2018.0,['Mystery'],1
