,Before,Corrected
0,Michael Ben-Naftali,Michal Ben-Naftali
1,Jakub Zulczyk,Jakub Żulczyk
2,E. M. Brown,Eric Brown
3,John C. Dalgish,John C. Dalglish
4,Kily Reid,Taylor Jenkins Reid
5,David Ness,David Nees
6,A. J. Tata,Anthony J. Tata
7,Gabriel Garcia Marquez,?
8,Kristy Cooper & Steve Johnson,Kirsty Cooper
9,Jeff VenderMeer,Jeff VanderMeer
10,M. J. Richards,Malcolm Richards
11,A. K. Duboff,A.K. DuBoff
12,Michael Lesse,Michael Leese
13,Jody Taylor,Jodi Taylor
14,Jessica Willis,Jessaca Willis
15,A. K. Duboff,A.K. DuBoff
16,Kristen Miller,Kristin Miller
17,Rachel Sparks,Rachael Sparks
18,Gina Wilkerson,Gina Wilkinson
19,Vanessa Robertson,Vennessa Robertson
20,Michael Maxwell,Micheal Maxwell
21,Raymond L. Weir,Raymond L. Weil
22,Willian Martin,William Martin
23,Michael Bussi,Michel Bussi
24,Guillermo Martinez,?
25,Tiger Herbert,Tiger Hebert
26,Tracey Falbe,?
27,Vincert Starrett,?
28,Arnaldur Indridason,Arnaldur Indriðason
29,Georgia Clarke,Georgina Clarke
30,Noriko Morishida,Noriko Morishita
31,Julie Shupe,Julia Shupe
32,Vivan Conroy,Vivian Conroy
33,Nichalas Irving & A. J. Tata,Nicholas Irving
34,Jennette Mccurdy,Jennette McCurdy
35,Jeff DeGraff & Staney DeGraff,Jeff Degraff
36,Julie North,Julia North
37,Jeff Vandermeer,Jeff VanderMeer
38,Lacy Shweidan,Lacy Sheridan
39,Kimberly J. Ward,Kimberley J. Ward
40,Michael Maxwell,Micheal Maxwell
41,Michael Lesse,Michael Leese
42,Linda Thackery,Linda Thackeray
43,Jeff Vandermeer,Jeff VanderMeer
44,Christopher Petersen,Christoffer Petersen
45,Michael Bussi,Michel Bussi
46,Julie Armfield,Julia Armfield
47,Brunoo Miller,Bruno Miller
48,Kristi Demeester,Kristi DeMeester
49,John NIcholl,John Nicholl
50,Suzanne Jansson,Susanne Jansson
51,Blake Piecre,Blake Pierce
52,Elif Bautuman,Batuman Elif
53,Michelle Pace,Michele Pace
54,Jana DeLeon,Jana Deleon
55,Gabriel Garcia Marquez,?
56,Kimberly Tait,Kimberley Tait
57,Billinda Sheehan,Bilinda Sheehan
58,Haley Gordon,Harley Gordon
59,Christopher Carlsson,Christoffer Carlsson
60,Scarlett St. Claire,Scarlett St. Clair
61,Rachel Blok,Rachael Blok
62,Elzbieta Cherezinska,Elżbieta Cherezińska
63,Josie Vogels,Josey Vogels
64,Christian McDonald,Christina McDonald
65,Grieg Beck,Greig Beck
66,Tody Neal,Toby Neal
67,Brendan Dubois,Brendan DuBois
68,Helen Kist,Heleen Kist
69,Don Kois,Dan Kois
70,Kevin Teo,Kelvin Teo
