title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
The Vanished Birds,Simon Jimenez,124205.0,55.18,6.37,1.95,0.36,1.58,"['Science Fiction', 'Fiction', 'Fantasy', 'Queer', 'LGBT', 'Adult', 'Time Travel']",2020.0
The Price of Honor,Jonathan P. Brazee,77253.0,35.35,8.71,2.63,0.71,1.92,['Science Fiction'],2017.0
The Mathematical Murder of Innocence,Michael Carter,37688.0,24.08,8.11,4.13,1.56,2.58,[],2020.0
The Case of the Baker Street Irregulars,Anthony Boucher,80557.0,32.33,8.41,3.72,1.64,2.08,"['Mystery', 'Fiction', 'Crime', 'Humor', 'Classics', '20th Century', 'Detective']",1940.0
Zombie Nation,Charlie Dalton,64396.0,51.11,8.22,2.21,0.58,1.63,[],2020.0
Wildoak,C. C. Harrington,55602.0,74.34,6.92,3.04,1.16,1.87,"['Middle Grade', 'Historical Fiction', 'Fiction', 'Animals', 'Childrens', 'Nature', 'Young Adult']",2022.0
The Holiday,T. M. Logan,101767.0,50.3,8.02,3.06,1.12,1.93,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Audiobook', 'Suspense']",2019.0
Fab: An Intimate Life of Paul McCartney,Howard Sounes,225785.0,39.24,6.52,3.03,1.2,1.83,"['Biography', 'Music', 'Nonfiction', 'History', 'Autobiography', 'Musicians', 'British Literature']",2010.0
Honest illusions,Nora Roberts,163279.0,55.45,8.31,2.72,0.95,1.77,"['Romance', 'Contemporary Romance', 'Romantic Suspense', 'Contemporary', 'Fiction', 'Mystery', 'Suspense']",1992.0
Second Chances,P. D. Cacek,91571.0,44.19,8.98,2.34,0.56,1.78,[],2020.0
Fifth Business,Robertson Davies,103691.0,29.82,8.8,3.46,1.12,2.34,"['Fiction', 'Canada', 'Classics', 'Historical Fiction', 'Literature', 'Literary Fiction', 'Novels']",1970.0
Spy Above the Clouds,Ciji Ware,161061.0,47.38,6.98,3.32,1.35,1.97,['Historical Fiction'],2021.0
If Then,Jill Lepore,109677.0,27.46,5.77,2.16,0.77,1.39,"['History', 'Nonfiction', 'Business', 'Politics', 'Technology', 'Science', 'Audiobook']",2020.0
The Hardy Boys: The Demon's Den,Franklin W. Dixon,33745.0,48.64,7.8,3.04,1.09,1.95,"['Mystery', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Classics']",1984.0
Void Ship,Dave Bara,89746.0,37.69,7.17,3.05,1.07,1.98,[],2018.0
How Lulu Lost Her Mind,Rachel Gibson,83425.0,61.79,7.97,2.2,0.69,1.51,"['Fiction', 'Chick Lit', 'Romance', 'Contemporary', 'Humor', 'Adult', 'Audiobook']",2020.0
Ghost Shadow,Heather Graham,92810.0,36.74,10.05,3.2,1.16,2.04,"['Paranormal', 'Mystery', 'Romance', 'Suspense', 'Paranormal Romance', 'Ghosts', 'Fantasy']",2010.0
Since We Fell,Dennis Lehane,114738.0,48.64,7.5,2.61,0.74,1.87,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime']",2017.0
Sooner Later Everything Falls Into the Sea,Sarah Pinsker,96057.0,47.61,8.39,2.55,0.62,1.93,"['Short Stories', 'Science Fiction', 'Fantasy', 'Fiction', 'LGBT', 'Speculative Fiction', 'Anthologies']",2019.0
The Teacher,Michael Ben-Naftali,50233.0,37.06,7.2,2.93,1.25,1.68,[],
Ryan's Christmas,L. J. Ross,41547.0,41.47,8.49,2.84,0.94,1.91,[],
