,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year

19,The Teacher,Michael Ben-Naftali,50233.0,37.06,7.2,2.93,1.25,1.68,[],

20,Ryan's Christmas,L. J. Ross,41547.0,41.47,8.49,2.84,0.94,1.91,"['Mystery', 'Crime', 'Fiction', 'Christmas', 'Audiobook', 'Thriller', 'Detective']",2019.0

53,The Very Best of Caitlin R. Kiernan,Caitlin R. Kiernan,165604.0,62.2,7.67,3.2,0.9,2.3,"['Horror', 'Short Stories', 'Fantasy', 'Fiction', 'Science Fiction', 'Weird Fiction', 'Dark Fantasy']",2019.0

55,Christmas Pig,J. K. Rowling,51218.0,61.1,7.93,3.17,0.81,2.36,"['Fantasy', 'Christmas', 'Fiction', 'Childrens', 'Middle Grade', 'Holiday', 'Adventure']",2021.0

63,Fatal Love,Michael Patterson,85334.0,18.0,11.14,5.15,2.14,3.01,[],2019.0

79,The Institute,Jakub Zulczyk,66557.0,57.45,7.48,2.92,1.28,1.63,[],

81,"Emotional Abuse, A Manual For Self-Defense","Zak Mucha, Joel Dvoskin & Marc MacYoung",69187.0,16.18,9.42,2.55,0.92,1.63,[],

99,Wild Hunt,Emma L. Adams,77505.0,42.26,8.35,2.51,0.83,1.68,"['Urban Fantasy', 'Fae']",2021.0

102,The Prodigy,John Feinstein,85049.0,31.62,8.67,2.97,1.0,1.97,"['Sports', 'Realistic Fiction', 'Young Adult', 'Family', 'Fiction', 'Teen', 'High School']",2018.0

107,Child of the Night,Thomas Laird,93673.0,39.59,9.73,3.09,0.93,2.16,[],2022.0

116,Fidelity,Thich Nhat Hanh,22190.0,31.42,9.26,2.68,0.8,1.87,"['Buddhism', 'Relationships', 'Nonfiction', 'Spirituality', 'Philosophy', 'Self Help', 'Love']",2011.0

126,Betrayal,Martina Cole,119456.0,24.62,10.81,3.59,1.51,2.08,"['Crime', 'Fiction', 'Thriller', 'Mystery', 'Contemporary']",2016.0

144,The Tunnel,Baynard Kendrick,63974.0,53.65,8.93,3.64,1.37,2.26,[],2021.0

156,Danger Close,Travis Starnes,64975.0,26.42,10.41,3.15,1.09,2.06,[],2021.0

165,The Bestseller,Stephen Leather,52627.0,40.98,9.74,2.57,0.79,1.78,"['Crime', 'Thriller', 'Mystery']",2011.0

170,Be Still,Erik Carter,53957.0,52.31,7.53,2.89,0.99,1.9,[],2020.0

177,Coma,Emmy Ellis,54074.0,61.3,7.89,2.62,0.64,1.98,[],2019.0

185,Moving Foreword,Rainn Wilson,55419.0,37.07,7.28,3.23,1.25,1.98,"['Humor', 'Short Stories', 'Books About Books', 'Fiction']",2019.0

186,Dog Park,Sofi Oksanen,112140.0,43.7,9.3,2.65,0.79,1.87,"['Fiction', 'Thriller', 'Finnish Literature', 'Ukraine', 'Contemporary', 'Historical Fiction', 'Novels']",2019.0

190,Plague,Graham Masterton,104312.0,55.95,8.23,2.85,1.17,1.68,"['Horror', 'Fiction', 'Science Fiction', 'Post Apocalyptic', 'Apocalyptic']",

199,The Endgame,S. Hussain Zaidi,49050.0,32.38,7.39,2.97,1.18,1.79,['Thriller'],2020.0

231,Blue Heaven,C. J. Box,108187.0,46.5,8.5,2.58,0.83,1.75,"['Mystery', 'Fiction', 'Thriller', 'Suspense', 'Crime', 'Mystery Thriller', 'Audiobook']",2008.0

246,Inside Story,Martin Amis,173407.0,38.22,7.56,4.05,1.54,2.5,"['Fiction', 'Novels', 'Literary Fiction', 'Literature', 'Biography Memoir', 'Contemporary', 'British Literature']",2020.0

253,Legacy,Danielle Steel,96617.0,28.03,9.98,3.52,1.09,2.43,"['Romance', 'Fiction', 'Historical Fiction', 'Chick Lit', 'Adult Fiction', 'Family', 'Historical Romance']",2010.0

